# E(MeV) DEDX(MeV/cm) δDEDX(MeV/cm)
0.0001 NaN NaN
0.0002 NaN NaN
0.0003 NaN NaN
0.0004 NaN NaN
0.0005 NaN NaN
0.0006 NaN NaN
0.0007 NaN NaN
0.0008 NaN NaN
0.0009 NaN NaN
0.001 NaN NaN
0.002 158.242 0.431407
0.003 187.497 0.596469
0.004 198.941 0.777647
0.005 218.578 0.954761
0.006 237.967 1.11803
0.007 253.477 1.22718
0.008 267.555 1.30511
0.009 284.383 1.40148
0.01 298.699 1.4762
0.02 394.516 1.76653
0.03 393.412 2.0718
0.04 386.008 2.063
0.05 411.951 1.92904
0.06 459.985 1.54854
0.07 654.632 9.07993e-07
0.08 710.792 1.74025e-06
0.09 764.152 1.83843e-06
0.1 815.071 1.51062e-06
0.2 1230.44 3.14549e-06
0.3 1534.22 1.64785e-06
0.4 1766.27 3.82112e-06
0.5 1947.04 2.34619e-06
0.6 2089.21 2.81963e-06
0.7 2201.51 4.32727e-06
0.8 2290.32 5.06584e-06
0.9 2360.36 3.51762e-06
1 2415.17 3.44949e-06
2 2535.42 3.30094e-06
3 2393.56 4.45422e-06
4 2211.55 1.52441e-06
5 2024.93 0.790888
6 1874.91 0.611392
7 1738.96 0.328085
8 1620.11 0.221044
9 1507.72 0.315393
10 1426.6 0.286327
20 615.863 0.300838
30 426.333 0.940852
40 335.571 1.22117
50 281.163 1.57044
60 238.103 1.0029
70 211.335 1.5217
80 190.233 1.56524
90 172.891 1.7682
100 173.063 4.06106
200 103.26 4.87645
300 87.9539 7.92145
400 66.1633 6.91987
500 76.1183 12.2363
600 64.586 11.9926
700 57.7995 12.1187
800 57.8152 13.8517
900 67.2464 17.9918
1000 49.2039 14.1381
2000 80.7613 34.6368
3000 108.021 51.9574
4000 96.7906 56.5656
5000 266.179 111.801
6000 436.054 158.731
7000 576.178 198.022
8000 95.8409 79.9967
9000 285.793 155.877
10000 415.546 199.992
