# E(MeV) DEDX(MeV/cm) δDEDX(MeV/cm)
0.0001 NaN NaN
0.0002 NaN NaN
0.0003 NaN NaN
0.0004 NaN NaN
0.0005 NaN NaN
0.0006 NaN NaN
0.0007 NaN NaN
0.0008 NaN NaN
0.0009 NaN NaN
0.001 NaN NaN
0.002 173.017 1.04253
0.003 187.373 1.01163
0.004 198.887 0.96177
0.005 208.556 0.932486
0.006 218.423 0.903539
0.007 220.727 0.815449
0.008 224.405 0.779035
0.009 231.296 0.747828
0.01 239.815 0.730287
0.02 317.489 0.688298
0.03 387.143 8.42909e-07
0.04 446.406 9.71196e-07
0.05 497.288 1.3535e-06
0.06 542.098 1.07661e-06
0.07 582.31 8.12649e-07
0.08 618.802 1.44702e-06
0.09 652.066 1.46843e-06
0.1 682.573 1.51998e-06
0.2 885.576 1.91517e-06
0.3 976.092 1.06307e-06
0.4 1008.1 1.93758e-06
0.5 1010.11 1.03677e-06
0.6 997.34 9.41155e-07
0.7 977.642 1.90783e-06
0.8 955.01 1.73711e-06
0.9 931.522 1.61338e-06
1 949.229 0.14056
2 559.33 0.136173
3 428.616 0.38807
4 349.105 0.535043
5 300.193 0.134462
6 263.948 0.135247
7 234.793 0.13541
8 215.577 0.790047
9 199.645 1.25202
10 182.457 0.132521
20 109.505 0.134084
30 80.5232 0.123049
40 68.1159 3.99552
50 68.8891 8.65215
60 52.4644 5.99655
70 55.2626 9.89525
80 45.571 7.99782
90 43.0142 8.99717
100 41.291 9.99759
200 58.1671 28.283
300 43.7164 30.0003
400 50.9751 39.9998
500 9.50606 0.152539
600 8.27527 0.130542
700 7.75392 0.157128
800 7.03589 0.139548
900 6.75888 0.146529
1000 6.01848 0.134894
2000 5.34286 0.3465
3000 4.29789 0.234414
4000 3.98594 0.190461
5000 504.526 500.018
6000 603.886 599.989
7000 4.05435 0.440206
8000 3.58599 0.14869
9000 5.47169 1.35283
10000 4.81715 0.954615
