# E(MeV) DEDX(MeV/cm) δDEDX(MeV/cm)
0.0001 NaN NaN
0.0002 NaN NaN
0.0003 NaN NaN
0.0004 NaN NaN
0.0005 NaN NaN
0.0006 NaN NaN
0.0007 NaN NaN
0.0008 NaN NaN
0.0009 NaN NaN
0.001 NaN NaN
0.002 511.637 60.7648
0.003 543.497 42.9014
0.004 620.345 40.6045
0.005 684.219 37.2857
0.006 738.302 34.1256
0.007 728.44 31.4786
0.008 783.598 30.6287
0.009 821.002 29.9392
0.01 854.699 29.5226
0.02 977.892 24.0793
0.03 956.99 19.4652
0.04 923.112 16.408
0.05 881.617 14.6804
0.06 842.584 13.1166
0.07 804.655 11.7935
0.08 771.195 10.8104
0.09 738.74 9.75886
0.1 711.231 9.13147
0.2 517.453 5.36834
0.3 411.996 3.8156
0.4 345.711 2.95169
0.5 299.684 2.39941
0.6 265.591 2.01346
0.7 239.156 1.73335
0.8 218.058 1.49848
0.9 200.777 1.36228
1 186.316 1.22057
2 112.041 0.613303
3 81.9806 0.399617
4 65.5845 0.295295
5 55.2854 0.228523
6 36.0625 0.145998
7 28.8127 0.113148
8 24.7016 0.0997154
9 21.8739 0.0788431
10 19.7918 0.0705078
20 11.343 0.0605644
30 8.77907 0.0988321
40 7.75874 0.168347
50 6.6089 0.136037
60 7.24754 0.304725
70 6.98444 0.34076
80 6.96299 0.389489
90 7.34366 0.482699
100 7.82594 0.563881
200 10.6387 1.15965
300 9.34108 1.282
400 15.2121 2.12636
500 12.4536 2.06926
600 15.4626 2.62595
700 21.5882 3.51296
800 22.4878 3.84995
900 26.7522 4.51273
1000 26.249 4.70503
2000 60.3767 10.5911
3000 67.4137 13.7588
4000 80.7307 17.4469
5000 84.6727 20.0162
6000 142.827 28.7885
7000 158.918 32.8613
8000 189.525 38.3682
9000 266.135 48.4785
10000 164.4 40.0073
