# E(MeV) DEDX(MeV/cm) δDEDX(MeV/cm)
0.0001 NaN NaN
0.0002 NaN NaN
0.0003 NaN NaN
0.0004 NaN NaN
0.0005 NaN NaN
0.0006 NaN NaN
0.0007 NaN NaN
0.0008 NaN NaN
0.0009 NaN NaN
0.001 NaN NaN
0.002 511.82 1.55654
0.003 617.695 1.63135
0.004 700.439 1.80104
0.005 767.099 1.87147
0.006 764.665 2.26405
0.007 825.069 2.21308
0.008 867.847 2.32738
0.009 902.318 2.37797
0.01 928.169 2.37393
0.02 987.594 1.80762
0.03 926.673 1.55336
0.04 871.377 1.22732
0.05 819.786 1.05899
0.06 773.617 0.988211
0.07 732.301 0.960486
0.08 696.087 0.857643
0.09 664.084 0.713448
0.1 634.43 0.689886
0.2 443.752 0.430642
0.3 347.687 0.305694
0.4 288.938 0.214175
0.5 248.738 0.200321
0.6 219.406 0.139873
0.7 196.897 0.16561
0.8 179.005 0.132279
0.9 164.412 0.109688
1 152.292 0.0752534
2 90.4894 0.0534973
3 45.8417 0.0463253
4 33.2286 0.0360262
5 26.765 0.0311629
6 22.8611 0.0257822
7 20.0514 0.0253762
8 17.9925 0.0254337
9 16.2596 0.0244449
10 15.0163 0.0247862
20 9.1623 0.0261524
30 7.10124 0.0278543
40 6.10215 0.0294207
50 5.52777 0.0307162
60 5.05094 0.0311119
70 4.79357 0.0323403
80 4.62549 0.0365227
90 4.41727 0.0365892
100 4.34084 0.0396775
200 3.87377 0.0503376
300 3.7841 0.0502317
400 3.95722 0.0821072
500 3.94391 0.0807108
600 3.88923 0.106081
700 3.96618 0.122876
800 4.06908 0.167922
900 4.3897 0.179733
1000 3.96655 0.100467
2000 4.92169 0.348272
3000 4.59109 0.22209
4000 4.79089 0.491075
5000 5.23955 0.544463
6000 4.43727 0.149325
7000 4.57836 0.210283
8000 4.43494 0.192742
9000 5.08292 0.629255
10000 6.91351 2.27233
