# E(MeV) DEDX(MeV/cm) δDEDX(MeV/cm)
0.0001 NaN NaN
0.0002 NaN NaN
0.0003 NaN NaN
0.0004 NaN NaN
0.0005 NaN NaN
0.0006 NaN NaN
0.0007 NaN NaN
0.0008 NaN NaN
0.0009 NaN NaN
0.001 NaN NaN
0.002 299.308 38.4296
0.003 277.781 22.9441
0.004 253.72 17.0325
0.005 223.659 12.3535
0.006 234.17 10.8515
0.007 257.143 11.064
0.008 278.034 10.8124
0.009 297.166 10.7627
0.01 314.74 10.8129
0.02 385.527 9.57954
0.03 452.481 9.27736
0.04 486.961 8.71443
0.05 499.329 8.35495
0.06 498.511 7.79673
0.07 500.329 7.36422
0.08 496.525 6.98151
0.09 492.241 6.52276
0.1 484.773 6.24731
0.2 408.372 4.24481
0.3 347.378 3.22049
0.4 302.858 2.58767
0.5 269.259 2.15728
0.6 243.008 1.84561
0.7 221.715 1.609
0.8 204.214 1.40568
0.9 189.572 1.28702
1 177.014 1.16183
2 109.438 0.600352
3 62.2269 0.307292
4 42.3268 0.198108
5 33.9746 0.14716
6 28.7951 0.132933
7 25.1414 0.127119
8 22.4566 0.106966
9 20.5629 0.120838
10 18.7498 0.097427
20 11.065 0.0422299
30 8.57378 0.148691
40 7.60663 0.274963
50 7.77259 0.512716
60 6.91943 0.500778
70 8.95442 0.921349
80 8.01367 0.901349
90 7.60296 0.915501
100 10.7338 1.43617
200 12.0743 2.33385
300 9.96945 2.46939
400 9.25108 2.68143
500 12.2593 3.74276
600 19.9993 5.68092
700 20.1814 6.19751
800 27.9746 8.02804
900 22.318 7.37226
1000 40.87 11.091
2000 37.7301 14.9218
3000 74.7176 26.4811
4000 57.6513 26.685
5000 137.879 47.1723
6000 84.3882 40.0248
7000 214.808 70.0506
8000 191.219 70.5553
9000 335.138 99.5079
10000 170.895 74.5504
