# E(MeV) DEDX(MeV/cm) δDEDX(MeV/cm)
0.0001 NaN NaN
0.0002 NaN NaN
0.0003 NaN NaN
0.0004 NaN NaN
0.0005 NaN NaN
0.0006 NaN NaN
0.0007 NaN NaN
0.0008 NaN NaN
0.0009 NaN NaN
0.001 NaN NaN
0.002 173.017 1.04253
0.003 187.373 1.01163
0.004 198.887 0.96177
0.005 208.556 0.932486
0.006 218.423 0.903539
0.007 220.727 0.815449
0.008 224.405 0.779035
0.009 231.296 0.747828
0.01 239.815 0.730287
0.02 317.489 0.688298
0.03 387.143 8.55443e-07
0.04 446.406 9.46499e-07
0.05 497.288 1.34307e-06
0.06 542.098 1.07198e-06
0.07 582.31 7.85591e-07
0.08 618.802 1.47153e-06
0.09 652.066 1.49343e-06
0.1 682.573 1.45429e-06
0.2 885.576 1.92917e-06
0.3 976.092 7.63058e-07
0.4 1008.1 1.96982e-06
0.5 1010.11 1.03677e-06
0.6 997.34 8.14374e-07
0.7 977.642 2.04617e-06
0.8 955.01 1.85265e-06
0.9 931.522 1.67882e-06
1 908.14 1.73796e-07
2 722.539 3.56494e-07
3 605.531 0.0726217
4 522.46 0.0712601
5 421.004 0.0513243
6 321.177 0.109322
7 271.805 0.12568
8 239.008 0.150095
9 215.439 0.253556
10 196.499 0.12351
20 111.888 0.27061
30 82.2843 0.585414
40 66.6666 0.964981
50 57.4956 1.56519
60 48.8243 1.19157
70 48.9417 2.30821
80 43.7514 2.2524
90 38.558 2.00542
100 39.3142 2.81972
200 30.3597 4.895
300 19.63 4.2412
400 31.0951 8.94192
500 24.4404 8.65862
600 38.4239 13.4142
700 35.7398 13.9978
800 55.0973 19.5916
900 33.6983 15.5868
1000 76.2604 26.4542
2000 44.757 28.2812
3000 124.352 60.0011
4000 84.0529 56.5641
5000 254.04 111.8
6000 63.8656 60.0023
7000 423.883 171.454
8000 324.016 159.999
9000 724.312 254.528
10000 203.864 141.418
