# E(MeV) DEDX(MeV/cm) δDEDX(MeV/cm)
0.0001 NaN NaN
0.0002 NaN NaN
0.0003 NaN NaN
0.0004 NaN NaN
0.0005 NaN NaN
0.0006 NaN NaN
0.0007 NaN NaN
0.0008 NaN NaN
0.0009 NaN NaN
0.001 NaN NaN
0.002 511.637 60.7648
0.003 543.497 43.0444
0.004 620.345 40.7963
0.005 684.219 37.4124
0.006 738.302 34.2131
0.007 729.064 31.6455
0.008 783.253 30.7047
0.009 820.893 29.9614
0.01 854.5 29.5636
0.02 977.778 24.1022
0.03 957.084 19.4981
0.04 923.101 16.4354
0.05 881.585 14.6919
0.06 842.586 13.1378
0.07 804.659 11.8124
0.08 771.187 10.8189
0.09 738.731 9.77052
0.1 711.218 9.14975
0.2 517.449 5.3742
0.3 411.995 3.81831
0.4 345.711 2.9532
0.5 299.684 2.40071
0.6 265.591 2.01695
0.7 239.155 1.73539
0.8 218.058 1.50091
0.9 200.772 1.36281
1 186.322 1.22288
2 112.043 0.614011
3 62.9438 0.310145
4 42.3458 0.193352
5 34.0283 0.14269
6 28.6759 0.116448
7 24.9399 0.0991368
8 22.431 0.0964249
9 20.3294 0.0801702
10 18.6502 0.0689237
20 11.2923 0.125815
30 8.91292 0.231487
40 7.48702 0.238717
50 6.60695 0.243443
60 6.94773 0.500939
70 6.32943 0.476712
80 7.28707 0.768944
90 7.56925 0.915428
100 8.08833 1.07087
200 9.38064 1.9063
300 8.96732 2.25462
400 14.687 3.79165
500 10.606 3.34783
600 20.0079 5.6809
700 17.8465 5.73809
800 27.9828 8.02802
900 22.3259 7.37225
1000 40.8783 11.0909
2000 37.7393 14.9221
3000 74.7266 26.4814
4000 57.6594 26.6851
5000 137.889 47.1727
6000 84.3968 40.0249
7000 214.818 70.0511
8000 191.231 70.5558
9000 335.151 99.5091
10000 170.904 74.5509
