# E(MeV) DEDX(MeV/cm) δDEDX(MeV/cm)
0.0001 NaN NaN
0.0002 472.422 3.62246
0.0003 385.59 2.98325
0.0004 343.291 2.499
0.0005 310.882 2.12543
0.0006 292.993 1.90015
0.0007 279.656 1.73538
0.0008 263.698 1.60362
0.0009 251.763 1.47179
0.001 246.011 1.42496
0.002 174.599 0.924014
0.003 137.862 0.695747
0.004 116.056 0.570781
0.005 100.804 0.481287
0.006 89.553 0.421085
0.007 80.9367 0.384338
0.008 73.7674 0.343991
0.009 67.8158 0.309269
0.01 63.2154 0.286192
0.02 38.5797 0.164085
0.03 28.6787 0.11955
0.04 22.4474 0.0994693
0.05 17.4803 0.116341
0.06 13.939 0.124091
0.07 11.6069 0.122633
0.08 9.92349 0.114159
0.09 8.94583 0.108167
0.1 8.00661 0.0979737
0.2 5.21084 0.0648604
0.3 4.51443 0.0738457
0.4 4.07614 0.0729917
0.5 3.98698 0.0856033
0.6 3.76309 0.0907438
0.7 3.74763 0.0953073
0.8 3.6239 0.102977
0.9 3.43975 0.0658547
1 3.57996 0.101515
2 3.67091 0.166373
3 3.93427 0.210615
4 4.21194 0.25952
5 3.68701 0.181233
6 4.53167 0.450828
7 4.44806 0.503325
8 4.40882 0.318063
9 4.81705 0.576495
10 4.35175 0.372692
20 3.80392 0.219641
30 6.83429 1.51296
40 8.2811 2.39517
50 12.6061 3.74863
60 9.37736 3.11048
70 6.51286 1.91743
80 8.71695 2.37422
90 9.35002 3.88665
100 10.9157 3.67715
200 13.4019 7.82728
300 40.3405 14.6697
400 47.4589 21.5083
500 73.0073 48.5689
600 102.596 46.5141
700 91.4148 47.9935
800 43.7364 15.6842
900 128.415 84.3095
1000 71.4841 52.7731
2000 141.045 71.904
3000 529.829 252.036
4000 761.933 355.648
5000 645.002 463.761
6000 329.784 219.784
7000 1456.51 665.721
8000 231.705 104.131
9000 149.328 79.8004
10000 1785.44 1034.05
