# E(MeV) DEDX(MeV/cm) δDEDX(MeV/cm)
0.0001 NaN NaN
0.0002 NaN NaN
0.0003 NaN NaN
0.0004 NaN NaN
0.0005 NaN NaN
0.0006 NaN NaN
0.0007 NaN NaN
0.0008 NaN NaN
0.0009 NaN NaN
0.001 NaN NaN
0.002 44.0402 0.51351
0.003 61.8755 0.701097
0.004 80.7685 0.889647
0.005 96.2132 1.03712
0.006 111.433 1.16638
0.007 121.477 1.2724
0.008 133.781 1.35357
0.009 144.037 1.42377
0.01 157.571 1.5401
0.02 250.384 1.98746
0.03 244.276 2.4985
0.04 336.913 2.2692
0.05 387.389 1.90423
0.06 440.567 1.58638
0.07 654.575 1.20326e-06
0.08 710.723 1.67327e-06
0.09 764.077 1.6146e-06
0.1 815.015 1.80492e-06
0.2 1230.38 2.27576e-06
0.3 1534.19 2.13353e-06
0.4 1766.26 4.06205e-06
0.5 1947.02 2.3966e-06
0.6 2089.19 1.70335e-06
0.7 2201.57 4.29842e-06
0.8 2290.38 4.53795e-06
0.9 2360.37 4.30321e-06
1 2415.18 1.62613e-06
2 2535.36 3.12223e-06
3 2393.63 3.24477e-06
4 2211.4 2.61475e-06
5 2034.94 2.93085e-06
6 1876.49 5.53087e-07
7 1738.55 0.00326369
8 1619.74 0.0837461
9 1516.8 0.0203563
10 1427.13 0.0997239
20 914.728 0.175087
30 688.924 0.282072
40 558.823 0.253923
50 474.113 0.276697
60 412.87 0.230012
70 367.118 0.233048
80 331.726 0.256364
90 302.975 0.23823
100 279.872 0.259519
200 129.21 0.254821
300 85.9512 0.486086
400 72.85 0.7049
500 68.231 0.93227
600 67.0973 1.15956
700 63.506 1.29019
800 66.8098 1.54988
900 66.3291 1.7074
1000 65.5541 1.83786
2000 102.26 3.96679
3000 146.17 6.1105
4000 185.645 8.10918
5000 237.211 10.3754
6000 285.207 12.5567
7000 341.432 14.9071
8000 341.737 15.9654
9000 378.694 17.8738
10000 454.612 20.7021
