# E(MeV) DEDX(MeV/cm) δDEDX(MeV/cm)
0.0001 NaN NaN
0.0002 NaN NaN
0.0003 NaN NaN
0.0004 NaN NaN
0.0005 NaN NaN
0.0006 NaN NaN
0.0007 NaN NaN
0.0008 NaN NaN
0.0009 NaN NaN
0.001 NaN NaN
0.002 299.308 38.4296
0.003 278.027 22.8848
0.004 253.815 16.9593
0.005 223.317 12.295
0.006 234.17 10.8238
0.007 257.143 11.014
0.008 278.034 10.7811
0.009 297.166 10.7533
0.01 314.74 10.7954
0.02 385.555 9.57005
0.03 452.377 9.26059
0.04 486.915 8.69901
0.05 499.372 8.34884
0.06 498.502 7.78405
0.07 500.29 7.35189
0.08 496.517 6.97583
0.09 492.244 6.51496
0.1 484.761 6.2346
0.2 408.368 4.24011
0.3 347.38 3.21821
0.4 302.858 2.58635
0.5 269.259 2.1561
0.6 243.008 1.84242
0.7 221.716 1.60711
0.8 204.214 1.40341
0.9 189.574 1.2865
1 177.009 1.15965
2 109.436 0.599661
3 80.8295 0.394494
4 64.9972 0.293504
5 54.8834 0.227382
6 36.01 0.147392
7 28.8999 0.117227
8 24.7782 0.104698
9 22.0862 0.0906937
10 19.9167 0.0816614
20 11.3451 0.0667742
30 8.88848 0.120689
40 7.9519 0.191113
50 7.34686 0.239009
60 6.73462 0.251567
70 7.7779 0.414301
80 7.65724 0.45945
90 7.83944 0.524018
100 9.08422 0.671838
200 11.2785 1.21156
300 11.1475 1.48009
400 9.56471 1.50398
500 13.4686 2.18771
600 16.0545 2.69403
700 21.5804 3.51301
800 22.4798 3.84997
900 26.7439 4.51274
1000 26.241 4.70504
2000 64.3771 10.9617
3000 70.4143 14.0825
4000 84.7279 17.899
5000 84.6631 20.0159
6000 142.816 28.788
7000 165.932 33.6
8000 189.512 38.3674
9000 248.09 46.7805
10000 154.378 38.7381
