# E(MeV) DEDX(MeV/cm) δDEDX(MeV/cm)
0.0001 NaN NaN
0.0002 NaN NaN
0.0003 NaN NaN
0.0004 NaN NaN
0.0005 NaN NaN
0.0006 NaN NaN
0.0007 NaN NaN
0.0008 NaN NaN
0.0009 NaN NaN
0.001 NaN NaN
0.002 374.536 1.98508
0.003 362.048 1.25276
0.004 337.669 0.803995
0.005 296.498 0.497832
0.006 299.485 6.67049e-07
0.007 323.493 3.79003e-07
0.008 345.836 4.52131e-07
0.009 366.819 5.85406e-07
0.01 386.674 8.58798e-07
0.02 501.669 0.759388
0.03 611.489 0.813093
0.04 694.306 0.825986
0.05 749.899 0.789016
0.06 803.211 0.774868
0.07 844.216 0.75756
0.08 877.439 0.746488
0.09 906.096 0.713333
0.1 926.024 0.688097
0.2 964.369 0.447248
0.3 910.054 0.299506
0.4 848.252 0.220334
0.5 792.209 0.166807
0.6 743.804 0.1313
0.7 702.832 0.0868457
0.8 608.763 0.138938
0.9 534.144 0.134069
1 483.064 0.134304
2 272.964 0.238601
3 201.594 0.152032
4 162.464 0.14151
5 137.549 0.136003
6 119.665 0.125622
7 106.203 0.125393
8 95.8996 0.124111
9 87.327 0.123309
10 80.4714 0.123997
20 46.5802 0.123472
30 36.9655 2.99916
40 31.2433 3.99922
50 23.1594 0.128411
60 20.0075 0.129637
70 17.7903 0.131894
80 16.2513 0.133932
90 14.7244 0.134198
100 13.4521 0.130093
200 28.1248 19.999
300 66.8524 42.4244
400 5.45737 0.108117
500 55.5841 49.9991
600 4.63578 0.138325
700 4.61998 0.190014
800 84.2114 79.9972
900 4.19298 0.16665
1000 4.08743 0.262757
2000 4.45276 0.498419
3000 3.99544 0.301727
4000 3.99058 0.29612
5000 3.5886 0.156826
6000 4.24636 0.533393
7000 704.189 700.003
8000 3.44961 0.111835
9000 3.65898 0.130232
10000 3.69252 0.157918
