# E(MeV) DEDX(MeV/cm) δDEDX(MeV/cm)
0.0001 NaN NaN
0.0002 NaN NaN
0.0003 NaN NaN
0.0004 NaN NaN
0.0005 NaN NaN
0.0006 NaN NaN
0.0007 NaN NaN
0.0008 NaN NaN
0.0009 NaN NaN
0.001 NaN NaN
0.002 44.0402 0.51351
0.003 61.8755 0.701097
0.004 80.7685 0.889647
0.005 96.2132 1.03712
0.006 111.433 1.16638
0.007 121.477 1.2724
0.008 133.781 1.35357
0.009 144.037 1.42377
0.01 157.571 1.5401
0.02 250.384 1.98746
0.03 244.276 2.4985
0.04 336.913 2.2692
0.05 387.389 1.90423
0.06 440.567 1.58638
0.07 654.575 1.17919e-06
0.08 710.723 1.66487e-06
0.09 764.077 1.59413e-06
0.1 815.015 1.79968e-06
0.2 1230.38 2.41654e-06
0.3 1534.19 2.10328e-06
0.4 1766.26 4.05112e-06
0.5 1947.02 2.36308e-06
0.6 2089.19 1.69251e-06
0.7 2201.57 4.37106e-06
0.8 2290.38 4.13199e-06
0.9 2360.37 4.2733e-06
1 2415.18 1.14985e-06
2 2535.36 2.81307e-06
3 2515.02 1.93737
4 1952.59 0.62709
5 1613.26 0.417813
6 1382.93 0.373874
7 1220.25 0.294584
8 1099.63 0.296536
9 1005.35 0.318912
10 928.119 0.293693
20 548.634 0.296928
30 405.311 4.1968
40 321.094 0.298298
50 278.667 7.0393
60 232.661 0.296291
70 205.889 0.296665
80 193.062 7.98507
90 168.777 0.243377
100 225.961 26.4188
200 91.2043 0.250269
300 187.101 59.9879
400 54.2084 0.261332
500 96.021 49.9969
600 40.3424 0.269381
700 36.7345 0.287544
800 113.715 79.9972
900 31.117 0.278105
1000 28.8087 0.280869
2000 20.7682 0.366976
3000 17.8993 0.362607
4000 17.4725 0.501409
5000 16.0644 0.453753
6000 15.7265 0.447026
7000 2116.6 1212.41
8000 15.3074 0.427551
9000 915.439 899.995
10000 15.4345 0.442134
