# E(MeV) DEDX(MeV/cm) δDEDX(MeV/cm)
0.0001 NaN NaN
0.0002 472.422 3.62246
0.0003 385.59 2.98325
0.0004 343.291 2.499
0.0005 310.882 2.12543
0.0006 292.993 1.90015
0.0007 279.656 1.73538
0.0008 263.698 1.60362
0.0009 251.763 1.47179
0.001 246.011 1.42496
0.002 174.599 0.924014
0.003 137.862 0.695747
0.004 116.056 0.570781
0.005 100.804 0.481287
0.006 89.553 0.421085
0.007 80.9334 0.38453
0.008 73.6076 0.345017
0.009 67.2218 0.31219
0.01 61.5121 0.297239
0.02 27.779 0.326142
0.03 18.3312 0.249185
0.04 14.2526 0.216208
0.05 12.2208 0.212784
0.06 10.6281 0.199108
0.07 9.34924 0.182696
0.08 8.94585 0.228464
0.09 8.13386 0.196912
0.1 7.45451 0.205661
0.2 5.19414 0.195679
0.3 4.25106 0.138298
0.4 4.40934 0.324083
0.5 4.02951 0.244338
0.6 3.61687 0.227585
0.7 3.88525 0.242433
0.8 3.28131 0.120065
0.9 3.38926 0.204823
1 3.6276 0.317758
2 3.25298 0.137348
3 5.25926 1.49106
4 5.17858 0.998866
5 5.28983 1.39106
6 3.56557 0.319078
7 3.85974 0.370904
8 6.52176 1.87202
9 4.37137 0.841228
10 4.29693 0.587595
20 3.41627 0.189987
30 5.28414 1.41524
40 23.5533 19.6467
50 5.72906 1.4877
60 5.09794 1.47385
70 5.71603 1.713
80 22.9784 19.0438
90 3.54819 0.380727
100 3.83818 0.305954
200 3.2277 0.142929
300 79.9537 76.0735
400 134.317 95.6128
500 62.4869 47.7063
600 4.02857 0.478494
700 48.3146 44.5821
800 4.13511 0.953636
900 35.7562 32.01
1000 43.8158 32.309
2000 563.498 558.45
3000 1342.43 990.292
4000 105.063 62.0851
5000 7.30773 3.57977
6000 265.626 214.476
7000 7.91046 3.93553
8000 540.906 537.416
9000 4.66976 0.543621
10000 1369.5 1346.66
