# E(MeV) DEDX(MeV/cm) δDEDX(MeV/cm)
0.0001 NaN NaN
0.0002 NaN NaN
0.0003 NaN NaN
0.0004 NaN NaN
0.0005 NaN NaN
0.0006 NaN NaN
0.0007 NaN NaN
0.0008 NaN NaN
0.0009 NaN NaN
0.001 NaN NaN
0.002 358.282 1.9644
0.003 309.299 1.21366
0.004 257.558 0.860037
0.005 249.086 0.607688
0.006 277.372 0.654678
0.007 302.522 0.623544
0.008 324.963 0.690873
0.009 345.082 0.73534
0.01 363.204 0.759574
0.02 434.101 1.00991
0.03 485.895 0.998129
0.04 505.306 0.870943
0.05 510.84 0.784212
0.06 498.069 0.724599
0.07 490.274 0.710642
0.08 481.314 0.650951
0.09 471.829 0.558491
0.1 461.025 0.543081
0.2 367.248 0.367117
0.3 304.821 0.272139
0.4 261.734 0.19619
0.5 230.025 0.186189
0.6 205.774 0.13183
0.7 186.531 0.157196
0.8 170.876 0.126512
0.9 157.869 0.105506
1 146.911 0.0727832
2 57.573 0.0570419
3 39.2301 0.0622261
4 30.8121 0.0532292
5 25.3387 0.0525985
6 22.1228 0.0418044
7 19.5043 0.0406939
8 17.5389 0.0421356
9 15.8272 0.0407932
10 14.866 0.0428493
20 9.13886 0.0463631
30 7.10888 0.0486674
40 6.15072 0.054642
50 5.53776 0.0549263
60 4.99544 0.0498249
70 4.86022 0.0601756
80 4.65246 0.0643666
90 4.42242 0.0672703
100 4.27877 0.0628791
200 3.89935 0.100423
300 3.8826 0.108844
400 3.9653 0.152899
500 3.96065 0.120912
600 4.09939 0.276585
700 4.21716 0.32767
800 3.82773 0.139814
900 4.38716 0.312664
1000 3.98094 0.224691
2000 4.55115 0.39254
3000 4.50469 0.393702
4000 5.2916 1.37321
5000 6.3008 1.51186
6000 4.4598 0.23346
7000 4.96234 0.450709
8000 4.5033 0.347351
9000 3.92895 0.0924918
10000 4.11152 0.169855
