# E(MeV) DEDX(MeV/cm) δDEDX(MeV/cm)
0.0001 NaN NaN
0.0002 NaN NaN
0.0003 NaN NaN
0.0004 NaN NaN
0.0005 NaN NaN
0.0006 NaN NaN
0.0007 NaN NaN
0.0008 NaN NaN
0.0009 NaN NaN
0.001 NaN NaN
0.002 158.242 0.431407
0.003 187.497 0.596469
0.004 198.941 0.777647
0.005 218.578 0.954761
0.006 237.967 1.11803
0.007 253.477 1.22718
0.008 267.555 1.30511
0.009 284.383 1.40148
0.01 298.699 1.4762
0.02 394.516 1.76653
0.03 393.412 2.0718
0.04 386.008 2.063
0.05 411.951 1.92904
0.06 459.985 1.54854
0.07 654.632 9.28607e-07
0.08 710.792 1.74508e-06
0.09 764.152 1.84916e-06
0.1 815.071 1.58738e-06
0.2 1230.44 3.11216e-06
0.3 1534.22 1.63995e-06
0.4 1766.27 3.79172e-06
0.5 1947.04 2.37995e-06
0.6 2089.21 2.93451e-06
0.7 2201.51 4.35027e-06
0.8 2290.32 4.55599e-06
0.9 2360.36 3.87158e-06
1 2415.17 3.36636e-06
2 2535.42 3.195e-06
3 2511.99 1.91605
4 1954.48 0.631529
5 1614.59 0.425949
6 1384.13 0.373781
7 1222.5 0.299394
8 1101.24 0.297948
9 1006.69 0.85374
10 929.435 0.298889
20 548.346 0.29544
30 405.77 4.19631
40 321.121 0.294999
50 279.973 7.03905
60 232.404 0.2985
70 205.852 0.294082
80 193.793 7.985
90 169.487 0.246228
100 226.088 26.4188
200 91.1006 0.248775
300 187.034 59.9879
400 54.1947 0.264959
500 96.0543 49.9968
600 40.3879 0.278357
700 36.9684 0.294306
800 113.645 79.9972
900 31.3145 0.303268
1000 28.9829 0.284807
2000 20.6005 0.337916
3000 17.8745 0.344977
4000 16.6028 0.405366
5000 16.1557 0.406528
6000 15.8179 0.427738
7000 2116.19 1212.41
8000 15.7838 0.611996
9000 917.491 899.996
10000 14.9966 0.512829
