# E(MeV) DEDX(MeV/cm) δDEDX(MeV/cm)
0.0001 NaN NaN
0.0002 NaN NaN
0.0003 NaN NaN
0.0004 NaN NaN
0.0005 NaN NaN
0.0006 NaN NaN
0.0007 NaN NaN
0.0008 NaN NaN
0.0009 NaN NaN
0.001 NaN NaN
0.002 351.145 1.94673
0.003 345.254 1.35134
0.004 328.334 0.901538
0.005 290.58 0.564324
0.006 299.488 6.05023e-07
0.007 323.497 4.27244e-07
0.008 345.862 5.91233e-07
0.009 366.881 5.24357e-07
0.01 386.738 9.70867e-07
0.02 495.143 0.80555
0.03 608.929 0.844379
0.04 689.961 0.857687
0.05 746.703 0.827375
0.06 796.761 0.814206
0.07 840.718 0.79143
0.08 875.37 0.782851
0.09 916.977 0.68627
0.1 971.342 0.250003
0.2 1023.58 0.47775
0.3 810.442 0.694728
0.4 693.697 0.428255
0.5 616.67 0.424893
0.6 561.054 0.429167
0.7 514.997 0.428432
0.8 477.201 0.431197
0.9 443.751 0.423206
1 415.78 0.428256
2 261.424 0.430873
3 197.176 0.415039
4 160.873 0.488744
5 135.493 0.397168
6 118.806 0.396445
7 105.518 0.388251
8 96.1242 0.404249
9 86.7148 0.381132
10 80.4065 0.395256
20 46.7717 0.392093
30 34.2787 0.398742
40 27.9183 0.452681
50 24.0885 1.33767
60 19.5657 0.362198
70 18.0296 0.603146
80 15.5278 0.357821
90 15.3005 0.45771
100 113.673 99.9948
200 8.30373 0.280303
300 6.54907 0.351023
400 5.33957 0.205394
500 4.98336 0.314462
600 5.81933 1.39954
700 5.10179 0.849606
800 4.03958 0.40475
900 3.57835 0.134867
1000 3.3714 0.0907106
2000 3.84233 0.597524
3000 3.34724 0.202788
4000 3.045 0.116605
5000 3.62923 0.36101
6000 3.59517 0.302414
7000 3.26577 0.280655
8000 3.41662 0.39607
9000 3.76025 0.407157
10000 4.07886 0.677897
