# E(MeV) DEDX(MeV/cm) δDEDX(MeV/cm)
0.0001 NaN NaN
0.0002 NaN NaN
0.0003 NaN NaN
0.0004 NaN NaN
0.0005 NaN NaN
0.0006 NaN NaN
0.0007 NaN NaN
0.0008 NaN NaN
0.0009 NaN NaN
0.001 NaN NaN
0.002 198.527 1.07355
0.003 139.319 0.654505
0.004 115.644 0.511612
0.005 100.872 0.435162
0.006 89.1653 0.382785
0.007 81.3917 0.34077
0.008 74.4108 0.31003
0.009 68.1868 0.280927
0.01 63.8128 0.254289
0.02 39.1005 0.143184
0.03 28.9482 0.103115
0.04 23.5092 0.0834176
0.05 20.0498 0.0681802
0.06 17.6371 0.05959
0.07 15.7934 0.0529899
0.08 14.3807 0.0481312
0.09 13.2597 0.0442626
0.1 12.3153 0.0409504
0.2 7.9798 0.0260476
0.3 6.37883 0.0207954
0.4 5.21613 0.027221
0.5 4.50391 0.0332134
0.6 4.09817 0.035942
0.7 3.84451 0.0355739
0.8 3.69379 0.0346278
0.9 3.62662 0.0327167
1 3.58967 0.0314154
2 3.6607 0.032033
3 3.75771 0.0389824
4 4.01247 0.0513372
5 4.04194 0.0600301
6 4.26726 0.0728158
7 4.2934 0.0799122
8 4.54042 0.0877577
9 4.50678 0.0963784
10 4.83028 0.119548
20 5.82309 0.214591
30 6.39411 0.320056
40 7.60806 0.439081
50 10.3274 0.698801
60 9.86918 0.709125
70 11.4334 0.822672
80 13.3744 1.05691
90 13.0757 1.08989
100 13.3574 1.08392
200 23.0507 2.31444
300 29.9597 3.39666
400 41.5707 4.46838
500 39.6952 5.18298
600 66.0308 7.58755
700 84.9557 9.77398
800 87.1184 10.0702
900 106.025 12.2216
1000 112.346 13.5653
2000 243.5 27.6426
3000 319.1 37.9924
4000 457.299 52.1276
5000 611.818 69.8241
6000 707.035 78.8123
7000 924.629 104.371
8000 847.442 105.102
9000 1039.56 122.935
10000 1141.91 131.44
