# E(MeV) DEDX(MeV/cm) δDEDX(MeV/cm)
0.0001 NaN NaN
0.0002 NaN NaN
0.0003 NaN NaN
0.0004 NaN NaN
0.0005 NaN NaN
0.0006 NaN NaN
0.0007 NaN NaN
0.0008 NaN NaN
0.0009 NaN NaN
0.001 NaN NaN
0.002 511.82 1.55654
0.003 617.695 1.63135
0.004 700.439 1.80394
0.005 767.099 1.87147
0.006 764.665 2.26405
0.007 825.069 2.21308
0.008 867.847 2.32738
0.009 902.318 2.37797
0.01 928.169 2.37393
0.02 987.594 1.80762
0.03 926.673 1.55336
0.04 871.374 1.2336
0.05 819.786 1.05899
0.06 773.617 0.988211
0.07 732.301 0.960486
0.08 696.087 0.857643
0.09 664.084 0.713448
0.1 634.43 0.689886
0.2 443.752 0.430642
0.3 347.687 0.305694
0.4 288.938 0.214175
0.5 248.738 0.200321
0.6 219.406 0.139873
0.7 196.897 0.16561
0.8 179.005 0.132279
0.9 164.412 0.109688
1 152.292 0.0752534
2 58.0007 0.0572301
3 39.3896 0.0622484
4 30.9062 0.0534722
5 25.4031 0.0527038
6 22.1739 0.0418562
7 19.5469 0.0407468
8 17.575 0.0421799
9 15.86 0.0408463
10 14.8948 0.0428917
20 9.1564 0.0464052
30 7.12303 0.048699
40 6.16587 0.0546918
50 5.54927 0.0549504
60 5.0069 0.0498485
70 4.87163 0.0602002
80 4.6669 0.0647198
90 4.43248 0.067286
100 4.28846 0.0628995
200 3.9094 0.100438
300 3.89061 0.108853
400 3.97364 0.152904
500 3.96757 0.120907
600 4.10734 0.276588
700 4.23345 0.327904
800 3.83558 0.13982
900 4.39544 0.312666
1000 3.99359 0.224873
2000 4.55925 0.392543
3000 4.51374 0.393704
4000 5.24423 1.37193
5000 6.31628 1.51191
6000 4.46888 0.233465
7000 4.97029 0.450711
8000 4.51524 0.347373
9000 3.93732 0.0925018
10000 4.11985 0.16986
