# E(MeV) DEDX(MeV/cm) δDEDX(MeV/cm)
0.0001 NaN NaN
0.0002 NaN NaN
0.0003 NaN NaN
0.0004 NaN NaN
0.0005 NaN NaN
0.0006 NaN NaN
0.0007 NaN NaN
0.0008 NaN NaN
0.0009 NaN NaN
0.001 NaN NaN
0.002 358.282 1.9644
0.003 309.299 1.21366
0.004 257.558 0.860037
0.005 249.086 0.607688
0.006 277.372 0.654678
0.007 302.522 0.623544
0.008 324.963 0.690873
0.009 345.082 0.73534
0.01 363.204 0.759574
0.02 434.101 1.00991
0.03 485.895 0.998129
0.04 505.306 0.870943
0.05 510.84 0.784212
0.06 498.073 0.728082
0.07 490.274 0.710642
0.08 481.314 0.650951
0.09 471.829 0.558491
0.1 461.025 0.543081
0.2 367.248 0.367117
0.3 304.864 0.271834
0.4 205.172 0.21597
0.5 163.14 0.191409
0.6 138.419 0.198925
0.7 121.049 0.179267
0.8 108.116 0.150851
0.9 98.0967 0.168915
1 89.9524 0.19659
2 51.3767 0.128933
3 37.7307 0.128437
4 29.9554 0.127075
5 24.9078 0.123785
6 21.7325 0.123406
7 19.3072 0.124608
8 17.5642 0.129025
9 15.7558 0.117116
10 14.8484 0.13052
20 9.09629 0.145455
30 7.15355 0.148944
40 6.42889 0.202004
50 5.38718 0.152499
60 4.93709 0.161688
70 4.94544 0.224156
80 4.3748 0.115359
90 4.41287 0.278529
100 4.28422 0.181435
200 3.63751 0.242473
300 3.95866 0.300728
400 4.70611 0.970222
500 4.09906 0.496942
600 3.66378 0.295509
700 6.61106 2.99702
800 3.86923 0.264098
900 7.29329 2.81956
1000 5.44444 2.03767
2000 3.75987 0.214819
3000 3.65308 0.160728
4000 4.19929 0.610824
5000 3.91237 0.310575
6000 4.03413 0.254501
7000 7.56415 3.37248
8000 3.72093 0.208772
9000 3.66679 0.110844
10000 4.05425 0.333251
